                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0334,                0.58515,                0.97028,                0.83125,                0.87556,                0.91088,                0.63194,                 1.0435,                0.56199,                0.99183,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.0379,                0.58131,                0.95917,                0.91877,                 0.9078,                0.93068,                0.68554,                0.95773,                0.51912,                0.96522,               0.000948,               0.000948,               0.000948
                     37,                 1.0139,                0.57976,                0.95903,                0.95499,                0.88512,                 0.9381,                0.70356,                 1.0223,                 0.5453,                0.98365,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.0215,                0.57689,                0.96042,                0.88174,                 0.8755,                0.95838,                0.66725,                 1.0373,                0.52504,                0.98822,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.0207,                0.56623,                0.96248,                0.85835,                0.91143,                0.94648,                 0.6613,                 1.0195,                 0.5593,                0.97799,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.0105,                0.57119,                0.96719,                0.93785,                0.95297,                 0.9717,                 0.6909,                 1.0195,                0.54585,                0.98005,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.0146,                0.56098,                 0.9542,                0.87229,                0.94324,                 0.9705,                0.67714,                 1.0017,                0.54963,                0.98033,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.0087,                0.56247,                0.95809,                0.94179,                0.96601,                0.98025,                0.72959,                0.98477,                0.50123,                0.97394,             0.00086312,             0.00086312,             0.00086312
                     43,                0.99708,                0.55193,                0.95575,                0.96122,                0.96092,                0.98105,                 0.7115,                 1.0137,                0.50284,                0.97974,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.0021,                 0.5444,                0.95049,                0.83526,                 0.9133,                0.93924,                0.69067,                0.99915,                0.50245,                0.97438,             0.00083482,             0.00083482,             0.00083482
                     45,                0.99148,                0.54663,                 0.9508,                0.95511,                0.82196,                0.94892,                 0.6776,                 1.0118,                0.49173,                0.97263,             0.00082067,             0.00082067,             0.00082067
                     46,                 0.9718,                0.53102,                0.94493,                0.87962,                0.95273,                0.96509,                0.67402,                 0.9998,                0.51761,                0.98403,             0.00080653,             0.00080653,             0.00080653
                     47,                0.97716,                0.53839,                0.94966,                0.95599,                0.88896,                0.96819,                 0.7022,                0.98131,                0.49673,                0.98006,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.0102,                0.55259,                0.95184,                0.92383,                0.82128,                0.95438,                0.69944,                 1.0264,                0.55281,                0.98603,             0.00077823,             0.00077823,             0.00077823
                     49,                0.98539,                0.53327,                0.95354,                0.82999,                0.97753,                0.96838,                0.70648,                 1.0162,                0.51968,                0.98381,             0.00076409,             0.00076409,             0.00076409
                     50,                0.97366,                 0.5298,                0.94911,                0.92581,                0.87044,                0.95231,                0.70591,                0.99906,                0.50891,                0.97665,             0.00074994,             0.00074994,             0.00074994
                     51,                0.99108,                0.52846,                0.94655,                0.94022,                0.85331,                0.95258,                0.67551,                0.97838,                0.50232,                0.96139,             0.00073579,             0.00073579,             0.00073579
                     52,                0.97788,                0.52102,                 0.9467,                0.93037,                 0.8686,                 0.9487,                0.67319,                 1.0465,                0.52709,                0.98188,             0.00072164,             0.00072164,             0.00072164
                     53,                0.95414,                0.51833,                0.94467,                0.93938,                0.94638,                0.98431,                0.70939,                 0.9965,                0.50697,                0.98297,              0.0007075,              0.0007075,              0.0007075
                     54,                0.97709,                0.52145,                0.94511,                0.97607,                0.84883,                0.96824,                0.69755,                0.99877,                0.48319,                0.97942,             0.00069335,             0.00069335,             0.00069335
                     55,                0.96226,                0.51316,                0.93691,                0.94777,                 0.9081,                0.97772,                0.69903,                0.99992,                0.49942,                0.96991,              0.0006792,              0.0006792,              0.0006792
                     56,                 0.9585,                0.50845,                0.93122,                0.96055,                 0.9059,                0.98316,                0.72086,                 1.0032,                 0.4875,                0.96634,             0.00066506,             0.00066506,             0.00066506
                     57,                0.94116,                0.50566,                0.93349,                0.94249,                0.82673,                0.95664,                 0.6985,                0.96521,                0.47587,                0.95468,             0.00065091,             0.00065091,             0.00065091
                     58,                0.93802,                0.50146,                0.92873,                0.79768,                0.92019,                0.94043,                0.64586,                 1.0304,                0.52478,                0.98148,             0.00063676,             0.00063676,             0.00063676
                     59,                0.94902,                0.50604,                0.94086,                0.90851,                0.91603,                0.95852,                0.67932,                 1.0006,                0.49862,                0.97984,             0.00062262,             0.00062262,             0.00062262
                     60,                0.95546,                0.49558,                 0.9339,                0.91163,                 0.8387,                0.91548,                0.68322,                0.97971,                 0.5059,                0.96555,             0.00060847,             0.00060847,             0.00060847
                     61,                0.95125,                0.50869,                0.93981,                0.93952,                0.82376,                0.94609,                0.68176,                 1.0028,                0.48211,                0.97214,             0.00059432,             0.00059432,             0.00059432
                     62,                0.94236,                 0.5005,                0.93489,                 0.9483,                0.85326,                0.91677,                0.67356,                 0.9881,                0.47441,                0.96595,             0.00058017,             0.00058017,             0.00058017
                     63,                0.94689,                0.50253,                0.93126,                0.83112,                0.87387,                0.92691,                0.66764,                0.98352,                0.48023,                0.96301,             0.00056603,             0.00056603,             0.00056603
                     64,                0.92344,                0.49731,                0.93923,                0.95192,                 0.8688,                0.92443,                0.68214,                 1.0117,                0.50093,                 0.9773,             0.00055188,             0.00055188,             0.00055188
                     65,                0.93491,                0.49224,                0.92654,                0.96111,                0.83966,                0.96377,                0.70752,                0.98399,                0.47528,                0.96588,             0.00053773,             0.00053773,             0.00053773
                     66,                0.92327,                0.48671,                0.92423,                0.87968,                0.88229,                 0.8909,                0.66316,                 1.0001,                 0.4975,                 0.9729,             0.00052359,             0.00052359,             0.00052359
                     67,                0.91821,                0.48501,                0.92975,                0.81863,                0.92616,                0.93413,                0.68322,                 1.0154,                0.49557,                0.97971,             0.00050944,             0.00050944,             0.00050944
                     68,                0.91495,                0.48269,                0.92532,                0.95531,                 0.9185,                0.97366,                0.73319,                0.97657,                 0.4674,                0.96811,             0.00049529,             0.00049529,             0.00049529
                     69,                0.92517,                0.47822,                0.92425,                0.98102,                0.89645,                0.96156,                0.69606,                 1.0008,                0.49033,                0.97347,             0.00048114,             0.00048114,             0.00048114
                     70,                0.91525,                0.47279,                0.92201,                0.88329,                0.91356,                0.96959,                0.69199,                0.99205,                0.48477,                0.96739,               0.000467,               0.000467,               0.000467
                     71,                0.92226,                0.47197,                0.92987,                0.94752,                 0.8341,                0.94364,                0.70079,                0.95977,                 0.4644,                0.95985,             0.00045285,             0.00045285,             0.00045285
                     72,                0.89409,                 0.4593,                0.91531,                0.95347,                0.76051,                0.91792,                0.67284,                0.97876,                0.50353,                0.96987,              0.0004387,              0.0004387,              0.0004387
                     73,                0.89695,                0.46198,                0.91006,                0.96284,                0.82806,                 0.9162,                0.67471,                 1.0014,                0.48164,                0.97633,             0.00042456,             0.00042456,             0.00042456
                     74,                0.89922,                0.46067,                0.91393,                 0.8798,                0.92616,                0.96176,                0.70202,                0.99825,                0.46844,                0.97965,             0.00041041,             0.00041041,             0.00041041
                     75,                0.90475,                0.47277,                0.92078,                 0.9519,                0.97753,                0.98462,                0.72968,                0.98773,                0.46741,                0.97135,             0.00039626,             0.00039626,             0.00039626
                     76,                 0.8988,                0.46376,                0.91775,                0.96168,                0.93573,                0.98209,                0.73442,                0.96132,                0.45411,                0.96259,             0.00038211,             0.00038211,             0.00038211
                     77,                 0.8944,                0.45699,                0.90328,                0.97181,                 0.8496,                0.97113,                0.70989,                0.97861,                0.47395,                0.97347,             0.00036797,             0.00036797,             0.00036797
                     78,                0.88994,                0.46096,                0.90699,                0.92629,                0.85207,                0.96077,                0.71042,                 1.0056,                0.48496,                0.97505,             0.00035382,             0.00035382,             0.00035382
                     79,                0.88212,                0.45016,                 0.9143,                0.94451,                0.85363,                0.96463,                 0.6947,                  1.011,                0.45902,                0.98689,             0.00033967,             0.00033967,             0.00033967
                     80,                0.87516,                0.45292,                0.91534,                 0.9182,                0.82802,                0.93315,                0.68631,                0.99153,                0.46926,                0.97644,             0.00032553,             0.00032553,             0.00032553
                     81,                0.87251,                0.44425,                0.91478,                0.94416,                0.88229,                  0.961,                0.71469,                0.98132,                0.46056,                 0.9759,             0.00031138,             0.00031138,             0.00031138
                     82,                0.88533,                0.45283,                0.91236,                0.94707,                0.92759,                0.97141,                0.70796,                0.99951,                0.46998,                0.97905,             0.00029723,             0.00029723,             0.00029723
                     83,                0.84494,                0.44221,                0.90456,                0.95137,                0.87359,                 0.9555,                0.69529,                0.98842,                0.49052,                0.97522,             0.00028308,             0.00028308,             0.00028308
                     84,                0.84074,                0.43639,                 0.9045,                0.97295,                0.97378,                0.98687,                0.70157,                 1.0095,                0.44206,                0.98342,             0.00026894,             0.00026894,             0.00026894
                     85,                0.85585,                0.44427,                0.90705,                0.97542,                0.90394,                0.97386,                0.70575,                0.98398,                0.45024,                0.97357,             0.00025479,             0.00025479,             0.00025479
                     86,                0.86096,                0.44184,                0.91376,                0.93507,                0.92242,                0.97263,                0.69709,                 1.0071,                0.46196,                0.98307,             0.00024064,             0.00024064,             0.00024064
                     87,                 0.8451,                0.43596,                0.90482,                0.95132,                0.95972,                0.98744,                0.72381,                 1.0004,                 0.4581,                0.97522,              0.0002265,              0.0002265,              0.0002265
                     88,                0.82812,                0.42005,                0.90055,                0.97348,                0.93488,                0.98711,                0.71402,                0.99808,                0.45388,                0.97483,             0.00021235,             0.00021235,             0.00021235
                     89,                0.84002,                0.42569,                0.89895,                 0.9571,                0.92616,                0.98051,                0.72117,                0.98791,                0.44283,                0.97211,              0.0001982,              0.0001982,              0.0001982
                     90,                0.85077,                 0.4385,                0.90668,                0.93899,                 0.9188,                0.98122,                 0.7174,                0.99825,                0.44917,                0.97207,             0.00018406,             0.00018406,             0.00018406
                     91,                0.83316,                0.40363,                0.89764,                0.94984,                 0.9622,                0.98741,                0.72035,                0.99914,                0.42825,                0.97726,             0.00016991,             0.00016991,             0.00016991
                     92,                0.82604,                0.39968,                0.89173,                0.92982,                0.96882,                0.98746,                  0.699,                 1.0105,                0.44621,                0.97586,             0.00015576,             0.00015576,             0.00015576
                     93,                0.82177,                0.40111,                0.88532,                 0.9564,                0.87234,                 0.9698,                0.69062,                 1.0105,                 0.4571,                0.97396,             0.00014161,             0.00014161,             0.00014161
                     94,                0.82191,                0.39302,                0.88171,                0.95771,                0.97378,                0.98741,                0.71487,                 1.0029,                0.44373,                0.97593,             0.00012747,             0.00012747,             0.00012747
                     95,                 0.8031,                0.38131,                0.88202,                0.97066,                  0.962,                0.98743,                0.70082,                 1.0021,                0.43806,                0.97889,             0.00011332,             0.00011332,             0.00011332
                     96,                0.79808,                0.37512,                0.88067,                0.97699,                0.97378,                0.98693,                0.71692,                 1.0059,                0.44517,                0.97997,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.80712,                0.38311,                0.88218,                0.96485,                 0.9724,                0.98706,                0.72326,                0.99987,                0.43431,                0.97589,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.78998,                0.38164,                0.88025,                0.96291,                0.97378,                0.98685,                0.71253,                  0.994,                0.43763,                  0.975,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.78365,                0.37734,                 0.8776,                0.96266,                0.96857,                0.98681,                0.70514,                0.99611,                 0.4378,                0.97772,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.79572,                 0.3779,                0.87417,                0.96006,                0.96687,                0.98703,                 0.7074,                0.99216,                0.43845,                  0.977,             4.2584e-05,             4.2584e-05,             4.2584e-05
